Province&City,Confirmed,Suspected,Cured,Dead,Comment
湖北,549,0,31,24,""""""
"""武汉""",495,0,31,23,""""""
"""孝感""",22,0,0,0,""""""
"""黄冈""",12,0,0,0,""""""
"""荆州""",8,0,0,0,""""""
"""荆门""",8,0,0,0,""""""
"""仙桃""",2,0,0,0,""""""
"""宜昌""",1,0,0,1,""""""
"""十堰""",1,0,0,0,""""""
广东,53,0,2,0,""""""
"""佛山""",6,0,0,0,""""""
"""广州""",5,0,0,0,"""福建地区新增疑似 2 例（漳州 1 例；三明 1 例）"""
"""惠州""",5,0,0,0,""""""
"""韶关""",3,0,0,0,""""""
"""深圳""",15,0,2,0,""""""
"""湛江""",2,0,0,0,""""""
"""珠海""",8,0,0,0,""""""
"""中山""",2,0,0,0,""""""
"""阳江""",3,0,0,0,""""""
"""肇庆""",1,0,0,0,""""""
"""清远""",1,0,0,0,""""""
浙江,43,0,1,0,""""""
"""杭州""",6,0,0,0,""""""
"""宁波""",5,0,0,0,""""""
"""台州""",18,0,0,0,""""""
"""温州""",6,0,1,0,""""""
"""舟山""",1,0,0,0,""""""
"""绍兴""",1,0,0,0,""""""
"""金华""",1,0,0,0,""""""
"""衢州""",2,0,0,0,""""""
"""嘉兴""",3,0,0,0,""""""
北京,29,0,1,0,""""""
"""昌平""",2,0,0,0,
"""大兴""",2,0,1,0,
"""丰台""",2,0,0,0,
"""海淀""",3,0,0,0,
"""通州""",2,0,0,0,
"""外地来京人员""",9,0,0,0,
"""西城""",4,0,0,0,
"""朝阳""",3,0,0,0,
"""石景山""",1,0,0,0,
"""顺义""",1,0,0,0,
上海,20,0,0,0,
湖南,24,0,0,0,
"""长沙""",8,0,0,0,
"""怀化""",3,0,0,0,
"""永州""",4,0,0,0,
"""郴州""",1,0,0,0,
"""株洲""",1,0,0,0,
"""岳阳""",3,0,0,0,
"""湘潭""",1,0,0,0,
"""娄底""",3,0,0,0,
安徽,15,0,0,0,
"""合肥""",6,0,0,0,
"""六安""",2,0,0,0,
"""滁州""",1,0,0,0,
"""阜阳""",2,0,0,0,
"""亳州""",1,0,0,0,
"""安庆""",1,0,0,0,
"""池州""",1,0,0,0,
"""蚌埠""",1,0,0,0,
重庆,27,0,0,0,
"""万州区""",3,0,0,0,
"""巫山县""",3,0,0,0,
"""长寿区""",3,0,0,0,
"""九龙坡区""",2,0,0,0,
"""垫江县""",2,0,0,0,
"""渝北区""",2,0,0,0,
"""永川区""",2,0,0,0,
"""涪陵区""",1,0,0,0,
"""开州区""",2,0,0,0,
"""忠县""",1,0,0,0,
"""大渡口区""",1,0,0,0,
"""云阳县""",1,0,0,0,
"""奉节县""",1,0,0,0,
"""巫溪县""",1,0,0,0,
"""秀山县""",1,0,0,0,
"""两江新区""",1,0,0,0,
四川,15,0,0,0,
"""成都""",7,0,0,0,
"""广安""",2,0,0,0,
"""绵阳""",2,0,0,0,
"""达州""",1,0,0,0,
"""遂宁""",1,0,0,0,
"""德阳""",1,0,0,0,
"""雅安""",1,0,0,0,
山东,15,0,0,0,
"""青岛""",4,0,0,0,
"""威海""",2,0,0,0,
"""临沂""",2,0,0,0,
"""潍坊""",1,0,0,0,
"""日照""",1,0,0,0,
"""济南""",2,0,0,0,
"""烟台""",2,0,0,0,
"""济宁""",1,0,0,0,
广西,13,0,0,0,
"""北海""",6,0,0,0,
"""柳州""",2,0,0,0,
"""梧州""",1,0,0,0,
"""桂林""",2,0,0,0,
"""百色""",1,0,0,0,
"""河池""",1,0,0,0,
福建,10,2,0,0,
"""福州""",5,0,0,0,
"""厦门""",3,0,0,0,
"""泉州""",1,0,0,0,
"""宁德""",1,0,0,0,
江苏,9,0,0,0,
"""苏州""",2,0,0,0,
"""南京""",3,0,0,0,
"""连云港""",1,0,0,0,
"""扬州""",1,0,0,0,
"""南通""",1,0,0,0,
"""无锡""",1,0,0,0,
河南,9,0,0,0,
"""巩义""",2,0,0,0,
"""洛阳""",1,0,0,0,
"""三门峡""",1,0,0,0,
"""郑州""",3,0,0,0,
"""信阳""",1,0,0,0,
"""周口""",1,0,0,0,
海南,8,0,0,0,
"""海口""",3,0,0,0,
"""临高县""",1,0,0,0,
"""三亚""",2,0,0,0,
"""万宁""",2,0,0,0,
天津,7,0,0,0,
江西,7,0,0,0,
"""抚州""",1,0,0,0,
"""萍乡""",1,0,0,0,
"""南昌""",2,0,0,0,
"""九江""",1,0,0,0,
"""新余""",1,0,0,0,
"""吉安""",1,0,0,0,
陕西,3,0,0,0,
"""咸阳""",1,0,0,0,
"""西安""",2,0,0,0,
贵州,3,0,0,0,
"""贵阳""",1,0,0,0,
"""铜仁""",1,0,0,0,
"""黔南州""",1,0,0,0,
辽宁,4,0,0,0,
"""大连""",1,0,0,0,
"""沈阳""",2,0,0,0,
"""朝阳""",1,0,0,0,
香港,2,0,0,0,
黑龙江,4,0,0,1,
"""牡丹江""",1,0,0,0,
"""哈尔滨""",1,0,0,0,
"""大庆""",1,0,0,0,
"""绥化""",1,0,0,1,
澳门,2,0,0,0,
新疆,2,0,0,0,
甘肃,2,0,0,0,
"""兰州""",1,0,0,0,
"""白银""",1,0,0,0,
云南,2,0,0,0,
"""昆明""",2,0,0,0,
台湾,1,0,0,0,
山西,1,0,0,0,
"""太原""",1,0,0,0,
吉林,3,0,0,0,
"""长春""",1,0,0,0,
"""吉林""",1,0,0,0,
"""松原""",1,0,0,0,
河北,2,0,0,1,
"""石家庄""",1,0,0,0,
"""沧州""",1,0,0,1,
宁夏,2,0,0,0,
"""银川""",1,0,0,0,
"""中卫""",1,0,0,0,
内蒙古,1,0,0,0,
"""满洲里""",1,0,0,,
